Name	GeneDB IDs	Log2 H/L	Log10 (Int H*L)	Group	Glycosome status 
	Tb11.01.7770 	0.615459414	11.4247964	i	red
	Tb927.4.4350 	0.613682889	13.68349288	i	red
	Tb927.10.1140 	0.613483703	11.40614531	i	red
	Tb09.211.4760 	0.611924902	13.67959811	i	red
	Tb927.7.2410 	0.608101524	13.43976341	i	red
	Tb927.4.410 	0.606881258	15.97163374	i	red
	Tb927.8.2720 	0.606821212	12.17590458	i	red
	Tb11.55.0017 	0.605845049	14.52904734	i	red
	Tb927.8.1980 	0.604581423	12.42711745	i	red
	Tb09.211.4155 	0.596267294	13.16310029	i	red
	Tb927.10.5770 	0.595119801	16.69033737	i	red
	Tb927.4.4210 	0.593174074	13.83349022	i	red
	Tb927.3.1720 	0.591618625	12.30735628	i	red
	Tb927.10.470 	0.589272022	15.05522138	i	red
	Tb09.211.1610 	0.587557017	10.30511362	i	red
	Tb927.10.14200 	0.581400401	12.45182765	i	red
	Tb927.8.2100 	0.577247536	13.85072322	i	red
	Tb11.01.7190 	0.575816695	15.39699125	i	red
	Tb11.02.1135 	0.574179709	15.03837296	i	red
	Tb927.3.960 	0.573202052	12.61884667	i	red
	Tb927.8.1740 	0.572933585	16.19221543	i	red
	Tb927.7.6660 	0.572551034	13.23553908	i	red
	Tb927.1.240 	0.569757553	11.7402506	i	red
	Tb11.02.1350 	0.569171759	12.6312437	i	red
	Tb927.10.12940 	0.568734941	14.88971911	i	red
	Tb927.4.4990 	0.56660682	14.99901478	i	red
	Tb927.8.1790 	0.566014742	15.91932509	i	red
	Tb11.01.6340 	0.564144713	14.49566653	i	red
	Tb11.01.8820 	0.562979753	15.22091368	i	red
	Tb11.01.0480 	0.561307392	11.98598854	i	red
	Tb927.10.1520 	0.557356187	13.7382382	i	red
	Tb11.02.5660 	0.555427469	16.11709236	i	red
	Tb927.3.2370 	0.552718257	13.80971632	i	red
	Tb927.10.8730 	0.552294893	13.55696091	i	red
	Tb927.3.4760 	0.552189809	16.49015725	i	red
	Tb927.10.12600 	0.551860232	11.63389827	i	red
	Tb09.160.2020 	0.550959915	13.49832834	i	red
	Tb09.v1.0420 	0.546840261	13.61372089	i	red
	Tb927.7.1320 	0.544975634	13.4002085	i	red
	Tb11.01.1090 	0.542873341	11.73743314	i	red
	Tb09.211.4880 	0.541684838	12.78452129	i	red
	Tb927.3.4920 	0.540081824	13.93664029	i	red
	Tb927.3.4490 	0.538746408	15.65812604	i	red
	Tb11.03.0110 	0.537466259	11.51398158	i	red
	Tb09.211.3310 	0.537431376	13.31300042	i	red
